"No","Sirket","AboneNo","IsletmeKodu","AboneAdi","AboneAdresi","BagAnlasma","Carpan","SayacSeriNo","Seyt","DirekSayisi","ArmaturSayisi","ArmaturGucu","24SaatlikCalisma","DenetlenenAbone"
"1134","YESILIRMAK","04100113283","52.0.0.0.0","","/***TR-178///KUMBASI MH.ESKIOKUL YANIDIREK 400 KVA TR.","Var","1","52703543","7,12","69","69","8570","0","0"
"1135","YESILIRMAK","04100113306","55.0.0.0.0","SOKAK AYDINLATMASI","","Var","1","52665135","3","60","30","3000","0","0"
"1136","YESILIRMAK","04100113335","57.0.0.0.0","SOKAK AYDINLATMA","TRAFO-7 ORMAN ISL. YANI","Var","1","52705005","10,543","84","84","8400","0","1"
"1137","YESILIRMAK","04100113362","19.0.0.0.0","","","Var","1","52698785","3,44","76","69","3440","0","0"
"1138","YESILIRMAK","04100113363","55.0.0.0.0","","","Var","1","52704440","4,729","96","52","5827","0","1"
"1139","YESILIRMAK","04100113900","52.0.0.0.0","KUMRU BELEDIYESI","","Var","1","52715181","2,576","61","28","2650","0","0"
"1140","YESILIRMAK","04100114014","19.0.0.0.0","SUNGURLU BELEDIYESI","","Var","1","52704899","6,039","80","80","8000","0","1"
"1141","YESILIRMAK","04100114019","57.0.0.0.0","","MERKEZ MAH.","Var","1","52698207","4,931","167","66","3300","0","1"
"1142","YESILIRMAK","04100114055","55.0.0.0.0","","","Var","1","52671121","4,112","34","34","5240","0","1"
"1143","YESILIRMAK","04100114059","19.0.0.0.0","","","Var","1","52666437","5,195","51","50","5000","0","0"
"1144","YESILIRMAK","04100114069","52.0.0.0.0","ALTINORDU BELEDIYESI","","Var","1","52665521","2,499","44","23","2600","0","0"
"1145","YESILIRMAK","04100114072","55.0.0.0.0","19 MAYIS BELEDIYESI","","Var","1","52715723","9,777","70","70","8800","0","0"
"1146","YESILIRMAK","04100114133","19.0.0.0.0","","","Var","1","52703292","0,23","19","24","2332","0","1"
"1147","YESILIRMAK","04100114342","19.0.0.0.0","","No:/","Var","1","52666501","1,61","45","22","1560","0","0"
"1148","YESILIRMAK","04100114346","57.0.0.0.0","SOKAK AYDINLATMA","","Var","1","52704477","3,09","88","39","1950","0","1"
"1149","YESILIRMAK","04100114375","52.0.0.0.0","PERSEMBE BELEDIYESI","/***TR-204 HACILAR KURAN KURSU YANI 100 KVATR PERSEMBE","Var","1","52665311","3,98","130","36","4330","0","0"
"1150","YESILIRMAK","04100114431","55.0.0.0.0","SOKAKAYDINLATMASI.","","Var","1","52709691","8,2","73","74","8000","0","0"
"1151","YESILIRMAK","04100114441","19.0.0.0.0"," ALACA BELEDIYE BASKANLIGI","","Var","1","52704255","11,129","83","50","8975","0","1"
"1152","YESILIRMAK","04100114459","55.0.0.0.0","19 MAYIS BELEDIYESI","","Var","1","52707518","9,333","52","52","9200","0","0"
"1153","YESILIRMAK","04100114529","57.0.0.0.0","SOKAK AYDINLATMA","KESE KY.MERKEZ MH.","Var","1","52706005","2,691","41","33","1900","0","0"
"1154","YESILIRMAK","04100114562","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","52706537","5,29","151","47","5820","0","0"
"1155","YESILIRMAK","04100114607","55.0.0.0.0","","","Var","1","52699102","9,865","75","75","9500","0","1"
"1156","YESILIRMAK","04100114672","5.0.0.0.0","ZIYARET BELEDIYESI","ZIYARET BELEDIYESI YUKARI MAHALLE DEMIR DIREK PANO","Var","1","52715566","2,43915","15","15","2439","0","0"
"1157","YESILIRMAK","04100114673","55.0.0.0.0","SOK. AYD.","","Var","1","52699457","5,047","42","42","4200","0","1"
"1158","YESILIRMAK","04100114691","19.0.0.0.0","","","Var","1","52694589","6,957","116","127","4280","0","1"
"1159","YESILIRMAK","04100114709","5.0.0.0.0","","","Var","1","52665998","1","5","5","1000","0","0"
"1160","YESILIRMAK","04100114771","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","52699626","8,788","181","84","10450","0","1"
"1161","YESILIRMAK","04100114779","52.0.0.0.0","","/***MERKEZ ALANKENT YOLU 400 KVA TR.","Var","1","52696117","11,12","115","51","12460","0","0"
"1162","YESILIRMAK","04100114848","52.0.0.0.0","","","Var","1","52703314","7,687","65","65","8050","0","1"
"1163","YESILIRMAK","04100114877","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","1152747","0,11","4","2","140","0","0"
"1164","YESILIRMAK","04100114925","52.0.0.0.0","AKKUS BELEDIYESI","/***AKKUS GEDIKLI ESEMEZ MAH.","Var","1","52715215","0,55","19","5","620","0","0"
"1165","YESILIRMAK","04100114958","19.0.0.0.0","","","Var","1","52671067","10,25","114","61","6322","0","0"
"1166","YESILIRMAK","04100114977","55.0.0.0.0","ATAKUM BELEDIYESI ","","Var","1","52723950","1,33","11","11","1250","0","0"
"1167","YESILIRMAK","04100115001","55.0.0.0.0","SOKAKAYDINLATMA","","Var","1","52707443","4,434","34","34","4050","0","0"
"1168","YESILIRMAK","04100115046","19.0.0.0.0","","","Var","1","52703672","6,512","29","29","4850","0","0"
"1169","YESILIRMAK","04100115053","55.0.0.0.0","","","Var","1","52706164","25,752","45","90","22500","0","0"
"1170","YESILIRMAK","04100115064","52.0.0.0.0","","/***BEYLERCE MAHALLESIMERKEZ  TR-7","Var","1","52714553","8,576","143","78","8600","0","0"
"1171","YESILIRMAK","04100115074","52.0.0.0.0","KORGAN BELEDIYESI","","Var","1","52706419","4,128","94","27","3860","0","1"
"1172","YESILIRMAK","04100115091","52.0.0.0.0","MESUDIYE BELEDIYESI","","Var","1","52707320","0,781","20","14","850","0","0"
"1173","YESILIRMAK","04100115134","19.0.0.0.0","","","Var","1","52705699","7,554","86","75","7504","0","0"
"1174","YESILIRMAK","04100115136","5.0.0.0.0","","","Var","1","52666231","6,629","43","43","7080,78","0","1"
"1175","YESILIRMAK","04100115242","19.0.0.0.0","","","Var","1","52703304","1,025","27","8","680","0","0"
"1176","YESILIRMAK","04100115245","55.0.0.0.0","SOKAK AYDINLATMA","","Var","1","52723560","5,012","24","24","5000","0","0"
"1177","YESILIRMAK","04100115248","55.0.0.0.0","","","Var","1","52706718","11,039","60","50","5500","0","0"
"1178","YESILIRMAK","04100115250","5.0.0.0.0","TASOVA BELEDIYESI","","Var","1","52699813","6,479","70","70","5500","0","1"
"1179","YESILIRMAK","04100115251","55.0.0.0.0","SOKAKAYDINLATMASI.","/***JANDARMA YANI.11.LADIK BELEDIYESI.","Var","1","52716589","3,44","35","30","3000","0","0"
"1180","YESILIRMAK","04100115302","55.0.0.0.0","TR 16/1","HASANLI SOK.","Var","1","52705292","6,216","48","45","4950","0","0"
"1181","YESILIRMAK","04100115318","5.0.0.0.0","SELIMIYE  SOKAK AYDINLAT","SELIMIYE","Var","1","52666258","2,72","26","26","2724","0","0"
"1182","YESILIRMAK","04100115325","55.0.0.0.0","","","Var","1","52703233","1,937","27","24","4397","0","1"
"1183","YESILIRMAK","04100114312","5.0.0.0.0","AMASYA BELEDIYESI","KURSUNLU MAH POLIS LOJ.ALTI TR 1/19","Var","1","52696703","8,41386","51","51","8414","0","0"
"1184","YESILIRMAK","04100115421","55.0.0.0.0","BAFRA SOK.AYDINLATMA","/***AKTEKKE YOLU 1","Var","1","52714567","10,284","75","75","8800","0","1"
"1185","YESILIRMAK","04100115428","55.0.0.0.0","KAHRAMAN YAKA 1","/***KAHRAMAN YAKA MAH CAMI YANI","Var","1","52706182","5,809","20","20","2375","0","0"
"1186","YESILIRMAK","04100115434","57.0.0.0.0","","","Var","1","52699003","5,77","42","26","2850","0","1"
"1187","YESILIRMAK","04100115505","52.0.0.0.0","PERSEMBE BELEDIYESI","","Var","1","52666619","7,02","136","35","8420","0","0"
"1188","YESILIRMAK","04100115534","52.0.0.0.0","","","Var","1","52642154","3,497","89","37","3750","0","0"
"1189","YESILIRMAK","04100115538","57.0.0.0.0","YUKARI TEKEL  TR-13","YUKARI TEKEL YANI","Var","1","52699710","6,1452446193","49","39","4800","0","0"
"1190","YESILIRMAK","04100115584","55.0.0.0.0","","","Var","1","52665167","5,6","50","50","5500","0","0"
"1191","YESILIRMAK","04100115614","55.0.0.0.0","","","Var","1","52666225","5,098","55","55","5761","0","0"
"1192","YESILIRMAK","04100115738","52.0.0.0.0","KORGAN BELEDIYESI","/***AZARA MAH./KORGAN50 KVA TR.","Var","1","52714657","2,618","168","44","5430","0","1"
"1193","YESILIRMAK","04100115760","55.0.0.0.0","SOKAK AYDINLATMASI.","","Var","1","52666479","3,085","29","19","900","0","1"
"1194","YESILIRMAK","04100115771","19.0.0.0.0","","","Var","1","52670585","2,7192","34","21","2250","0","0"
"1195","YESILIRMAK","04100115806","5.0.0.0.0","MERZIFON BELEDIYESI","KURUCAY YENI CAMI ALTI","Var","1","52704353","14,9","80","80","14900","0","0"
"1196","YESILIRMAK","04100115817","55.0.0.0.0","","","Var","1","52670904","11,251","77","81","9033","0","0"
"1197","YESILIRMAK","04100115833","57.0.0.0.0","SOKAK AYDINLATMA","","Var","1","52706043","0,771","27","4","500","0","0"
"1198","YESILIRMAK","04100115836","55.0.0.0.0","CANIK BELEDIYESI ","/***KARSIYAKA MAH. KANIJE SOK DM 04-17","Var","1","52715436","6,55","53","53","6500","0","0"
"1199","YESILIRMAK","04100115840","52.0.0.0.0","","/***YUKARI YAYLACIK KABIN50 KVA TR./KORGAN","Var","1","52715166","6,43","142","59","7310","0","0"
"1200","YESILIRMAK","04100115877","52.0.0.0.0","","","Var","1","52714513","5,689","130","69","5850","0","0"
"1201","YESILIRMAK","04100115924","55.0.0.0.0","AKTEKKE ORTA MAH.","/***AKTEKKE ORTA MAH","Var","1","52706221","5,982","35","37","4245","0","0"
"1202","YESILIRMAK","04100115938","52.0.0.0.0","","","Var","1","52698743","11,83","119","115","14250","0","0"
